order_id,order_date,region_x,category,product,quantity,unit_price,discount,revenue,cost,profit,profit_margin,month,customer_id,segment,region_y,acquisition_channel,region
1,2025-03-29,Central,Home & Kitchen,Air Fryer,1,90.61,0.05,86.08,47.0,39.08,0.45399628252788105,2025-03,10367,Consumer,South,Social Media,
2,2025-10-21,South,Clothing,Jacket,1,76.07,0.0,76.07,53.84,22.22999999999999,0.2922308400157748,2025-10,10489,Consumer,South,Organic Search,
3,2025-07-07,East,Electronics,Wireless Headphones,1,120.75,0.05,114.71,61.04,53.669999999999995,0.4678755121611019,2025-07,10011,Consumer,West,Paid Ads,
4,2025-01-21,North,Home & Kitchen,LED Lamp,1,70.42,0.0,70.42,47.74,22.68,0.3220675944333996,2025-01,10446,Consumer,North,Organic Search,
5,2025-04-02,West,Electronics,Power Bank,2,51.9,0.0,103.8,60.21,43.589999999999996,0.4199421965317919,2025-04,10114,Consumer,East,Organic Search,
6,2025-02-19,West,Electronics,Wireless Headphones,2,157.61,0.0,315.22,195.96,119.26000000000002,0.378338937884652,2025-02,10196,Consumer,East,Email,
7,2025-07-21,West,Home & Kitchen,Mixer Grinder,1,69.66,0.1,62.69,39.93,22.759999999999998,0.36305630882118356,2025-07,10323,Consumer,North,Referral,
8,2025-07-09,Central,Clothing,Jacket,1,56.03,0.05,53.23,34.89,18.339999999999996,0.34454255119293625,2025-07,10512,Consumer,East,Social Media,
9,2025-06-06,Central,Home & Kitchen,Mixer Grinder,1,90.32,0.1,81.29,48.1,33.190000000000005,0.40829130274326486,2025-06,10165,Consumer,East,Email,
10,2025-03-04,East,Electronics,Bluetooth Speaker,1,122.89,0.05,116.75,69.62,47.129999999999995,0.4036830835117773,2025-03,10252,Consumer,Central,Organic Search,
11,2025-02-02,Central,Electronics,Power Bank,1,91.8,0.15,78.03,53.22,24.810000000000002,0.3179546328335256,2025-02,10044,Consumer,North,Organic Search,
12,2025-05-11,North,Beauty,Perfume,1,36.54,0.05,34.71,21.5,13.21,0.38058196485162776,2025-05,10470,Consumer,East,Organic Search,
13,2025-06-28,North,Beauty,Skin Care Kit,2,77.77,0.05,147.76,77.81,69.94999999999999,0.4734028153762858,2025-06,10489,Consumer,South,Organic Search,
14,2025-05-23,East,Home & Kitchen,LED Lamp,1,59.38,0.0,59.38,40.21,19.17,0.32283597170764566,2025-05,10181,Corporate,West,Organic Search,
15,2025-05-14,West,Electronics,Wireless Headphones,1,92.83,0.15,78.91,57.61,21.299999999999997,0.2699277658091496,2025-05,10077,Consumer,South,Social Media,
16,2025-12-14,North,Beauty,Perfume,1,34.38,0.15,29.22,17.66,11.559999999999999,0.39561943874058864,2025-12,10374,Small Business,East,Referral,
17,2025-11-14,Central,Home & Kitchen,Air Fryer,1,49.77,0.0,49.77,32.79,16.980000000000004,0.34116937914406276,2025-11,10067,Consumer,North,Referral,
18,2025-04-06,North,Clothing,Jeans,1,39.31,0.15,33.41,20.18,13.229999999999997,0.395989224782999,2025-04,10092,Small Business,Central,Referral,
19,2025-04-23,South,Home & Kitchen,Mixer Grinder,3,37.02,0.0,111.06,58.82,52.24,0.47037637313164055,2025-04,10244,Consumer,South,Social Media,
20,2025-05-06,South,Clothing,Jeans,1,54.59,0.0,54.59,37.39,17.200000000000003,0.3150760212493131,2025-05,10341,Consumer,East,Referral,
21,2025-09-12,Central,Clothing,Jeans,4,66.82,0.1,240.55,139.95,100.60000000000002,0.41820827270837674,2025-09,10304,Small Business,South,Social Media,
22,2025-07-20,West,Clothing,Jeans,1,37.29,0.1,33.56,24.42,9.14,0.2723480333730632,2025-07,10398,Consumer,North,Paid Ads,
23,2025-05-27,West,Clothing,Jacket,1,81.28,0.0,81.28,53.09,28.189999999999998,0.34682578740157477,2025-05,10448,Corporate,North,Social Media,
24,2025-12-26,North,Clothing,Jacket,2,68.45,0.05,130.06,85.14,44.92,0.3453790558203906,2025-12,10097,Consumer,West,Email,
25,2025-03-01,North,Clothing,Casual Shirt,1,67.53,0.1,60.78,40.38,20.4,0.33563672260612043,2025-03,10331,Small Business,East,Social Media,
26,2025-01-09,North,Electronics,Power Bank,3,78.64,0.05,224.12,167.97,56.150000000000006,0.2505354274495806,2025-01,10205,Consumer,South,Email,
27,2025-04-23,West,Home & Kitchen,LED Lamp,2,73.61,0.15,125.14,92.76,32.379999999999995,0.2587501997762506,2025-04,10449,Consumer,South,Social Media,
28,2025-06-02,Central,Sports,Fitness Band,1,84.39,0.05,80.17,61.28,18.89,0.23562429836597232,2025-06,10418,Corporate,North,Organic Search,
29,2025-10-16,Central,Home & Kitchen,Mixer Grinder,1,103.51,0.0,103.51,72.99,30.52000000000001,0.2948507390590282,2025-10,10077,Consumer,South,Social Media,
30,2025-02-02,West,Electronics,Power Bank,1,164.52,0.1,148.07,102.31,45.75999999999999,0.30904302019315183,2025-02,10425,Consumer,West,Social Media,
31,2025-10-13,North,Clothing,Jeans,1,68.53,0.1,61.68,44.82,16.86,0.2733463035019455,2025-10,10429,Consumer,Central,Email,
32,2025-01-04,East,Clothing,Jacket,2,51.31,0.0,102.62,66.68,35.94,0.35022412785032153,2025-01,10485,Consumer,East,Referral,
33,2025-10-29,Central,Beauty,Perfume,1,37.5,0.0,37.5,28.55,8.95,0.23866666666666664,2025-10,10135,Consumer,South,Organic Search,
34,2025-06-10,East,Clothing,Jacket,2,66.0,0.0,132.0,81.86,50.14,0.3798484848484849,2025-06,10254,Consumer,West,Paid Ads,
35,2025-09-30,North,Electronics,Wireless Headphones,1,81.44,0.0,81.44,48.6,32.839999999999996,0.40324165029469544,2025-09,10255,Consumer,East,Organic Search,
36,2025-12-21,South,Electronics,Smart Watch,1,166.69,0.0,166.69,121.76,44.92999999999999,0.26954226408302834,2025-12,10499,Corporate,South,Organic Search,
37,2025-12-20,South,Beauty,Face Serum,1,33.77,0.15,28.7,15.13,13.569999999999999,0.4728222996515679,2025-12,10484,Small Business,South,Referral,
38,2025-05-05,South,Home & Kitchen,Storage Set,1,77.14,0.05,73.28,48.44,24.840000000000003,0.3389737991266376,2025-05,10046,Consumer,North,Social Media,
39,2025-02-22,West,Beauty,Face Serum,1,34.71,0.0,34.71,22.76,11.95,0.3442811869778162,2025-02,10443,Consumer,West,Referral,
